FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
545000,ESKISEHIR,ODUNPAZARI,YENISOFCA,57739-1364,TARLA,2780,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,196,,,
4300000,MUGLA,BODRUM,YALIKAVAK,95136-272,TARLA,12457,UYGUN,HISSELI TAPU,HAYIR,HAYIR,BODRUM,,672,59,
1000,ANKARA,ETIMESGUT,ASAGIYURTCU,43940-1283,K_T,2500,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,ETIMESGUT,600,,,12000.0
700000,KAYSERI,KOCASINAN,GOMEC,117916-21,TARLA,5393,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,KOCASINAN,,0,476,
53000,ISTANBUL,CATALCA,FERHATPASA,8088-1733,TARLA,196,BILINMIYOR,HISSELI TAPU,,HAYIR,,,,,
2349000,TEKIRDAG,SULEYMANPASA,ASAGIKILICLI,692045-523,TARLA,66450,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,S.PASA,,,,
320000,ESKISEHIR,MAHMUDIYE,HAMIDIYE,4333-2007,TARLA,40000,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,MAHMUDIYE,8,18,20,
340000,MUGLA,MENTESE,DOGAN,117494-121,I_K,1062,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,MENTESE,,,,
275000,BURDUR,KARAMANLI,KILAVUZLAR,82595-1010,BAHCE,12400,,,EVET,HAYIR,,,,,
242000,ANTALYA,DOSEMEALTI,YENIKOY,119339-65,I_K,325,,,,HAYIR,,,,,
375000,BALIKESIR,GOMEC,KARAAGAC,98500-154,I_K,455,BILINMIYOR,,HAYIR,HAYIR,GOMEC BELEDIYESI,,,,
60000,YALOVA,ARMUTLU,MECIDIYE,87282-1045,I_K,199,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,ARMUTLU,,109,9,
79990,EDIRNE,LALAPASA,MERKEZ,64318-312,I_K,775,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,LALAPAS,100,101,3,
150000,BURSA,YENISEHIR,KIZILHISAR,80020-5,TARLA,6941,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,,108,4,
6000000,ANKARA,ETIMESGUT,BAHCEKAPI,32722-3304,I_S,4500,,,,HAYIR,,,,,
65000,AYDIN,DIDIM,AK - YENIKOY,90011-92,I_K,300,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,DIDIM,,0,0,
470000,KOCAELI,KARAMURSEL,YALAKDERE,56374-1920,I_K,2776,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL,,149,22,
2500000,KAHRAMANMARAS,ONIKISUBAT,YAMACTEPE,30777-1188,I_K,1820,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ONIKISUBAT,1500,,,
970000,ISTANBUL,BUYUKCEKMECE,CELALIYE,115511-88,I_K,664,,,,HAYIR,,,,,
399000,KOCAELI,KARTEPE,ACISU,95523-291,I_K,879,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARTEPE,,,,
210000,BALIKESIR,BURHANIYE,BOREZLI,51689-377,I_K,482,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,BURHANIYE,1,1,1,1000.0
65000,IZMIR,BORNOVA,YAKAKOY,92233-2153,BAHCE,300,,,,HAYIR,,,,,
220000,KAYSERI,MELIKGAZI,GESI FATIH,86542-273,I_K,530,UYGUN DEGIL,MUSTAKIL PARSEL,EVET,HAYIR,MELIKGAZI,415,,,1500.0
4950000,ISTANBUL,SARIYER,ZEKERIYAKOY,10012-2669,I_K,930,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SARIYER,5300,,,
2500000,MANISA,YUNUSEMRE,EVRENOS,34970-1727,I_S,2228,,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
225000,MUGLA,MILAS,KEMIKLER,97047-232,ZEYTINLIK,5292,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,MILAS,,128,38,
168000,TEKIRDAG,CORLU,HAVUZLAR,64979-41,I_K,240,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,CORLU,700,,,
25000,KAYSERI,KOCASINAN,KEMER,91360-110,BAG,223,,,,HAYIR,,,8418,7,
1200000,AYDIN,DIDIM,AKBUK,118652-17,I_K,1169,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,DIDIM,,,,
1300000,CANAKKALE,MERKEZ,KEPEZ (CUMHURIYET),88682-554,BAHCE,2860,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,455,,,
75000,KIRKLARELI,LULEBURGAZ,BUYUKKARISTIRAN (KUCUKKARISTIRAN),115493-15,I_K,283,,MUSTAKIL PARSEL,EVET,HAYIR,,,229,7,
110000,ANKARA,CANKAYA,KARATAS,47569-441,I_K,135,UYGUN DEGIL,HISSELI TAPU,HAYIR,EVET,CANKAYA,1116,29585,4,
90000,AMASYA,SULUOVA,BOYALI,108961-58,BAG,2917,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SULUOVA,23,,,
3950000,IZMIR,SEFERIHISAR,ULAMIS,55995-1666,D_A_I,6500,,,,HAYIR,,,,,
80000,ANTALYA,SERIK,ASAGIKOCAYATAK,21055-1949,TARLA,15000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SERIK,80,,,
2000000,MUGLA,ULA,SIRINKOY,83568-1327,I_K,2032,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,ULA,,149,2,
5500000,AYDIN,KUSADASI,TURKMEN,18495-2283,ZEYTINLIK,11880000,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,KUSADASI,,450,5,
180000,CANAKKALE,LAPSEKI,DALYAN,78920-316,I_K,200,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,LAPSEKI,,152,537,
3271000,MUGLA,MARMARIS,CAMLI,80481-420,TARLA,6542,UYGUN,MUSTAKIL PARSEL,,HAYIR,,500,,,
750000,IZMIR,MENDERES,DEVELI,103698-186,TARLA,4000,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,,,,
16500000,KOCAELI,DERINCE,DENIZ,13290-186,I_T,4117,UYGUN,,,HAYIR,DERINCE,,,,
420000,ISTANBUL,SILIVRI,BALABAN,73493-644,TARLA,1800,BILINMIYOR,MUSTAKIL PARSEL,EVET,HAYIR,SILIVRI,,,,
280000,MUGLA,MENTESE,AKKAYA,107817-213,TARLA,3025,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,MENTESE,94,,,
1500000,IZMIR,MENEMEN,KAZIMPASA,95506-38,K_T,8957,,,,HAYIR,MENEMEN,,111,0,
1650000,ANTALYA,ALANYA,GULLER PINARI,117100-151,TARLA,17000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
275000,MUGLA,MILAS,DERINCE,0-35964467,TARLA,8200,,,,HAYIR,,,,,
650000,KOCAELI,KARAMURSEL,YALAKDERE,80164-30,TARLA,13000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARAMURSEL,,,,
210000,IZMIR,KARABURUN,MORDOGAN,24816-1613,I_K,250,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARABURUN,,533,,
675000,BURSA,KESTEL,NARLIDERE,119488-28,BAG,4520,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KESTEL,,0,0,
3500000,ANTALYA,SERIK,KADRIYE,6301-967,TARLA,46800,,HISSELI TAPU,HAYIR,HAYIR,SERIK,,,,
160000,MERSIN(ICEL),YENISEHIR,DEGIRMENCAY,94584-74,M_A,2700,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,YENISEHIR,,,,
750000,BALIKESIR,EDREMIT,CAMCI,48018-1092,ZEYTINLIK,12500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
1750000,ANTALYA,KORKUTELI,YAZIR,60447-1417,TARLA,48000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KORKUTELI,,0,0,
360000,ANKARA,CANKAYA,KOMURCU,2530-1461,TARLA,13100,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,CANKAYA,,130,5,
280000,AYDIN,DIDIM,AKBUK,90172-477,I_K,317,UYGUN DEGIL,MUSTAKIL PARSEL,EVET,HAYIR,DIDIM,,3710,22,
600000,IZMIR,BUCA,KAYNAKLAR MERKEZ,86002-2424,I_K,500,UYGUN,MUSTAKIL PARSEL,EVET,EVET,BUCA,1200,1,1,
32500,KONYA,MERAM,KIZILOREN,39168-3563,BAHCE,500,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,MERAM,,235,147,
175000,ISPARTA,MERKEZ,DEREGUMU,118325-40,I_K,370,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ISPARTA,473,138,50,
37000000,ANKARA,ETIMESGUT,ORHUN,3920-8041,K_T,20001,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ETIMESGUT,1850,49914,1,
111111,SAMSUN,ATAKUM,KUCUKKOLPINAR,68082-479,I_K,6000,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,ATAKUM,,,,
2000000,BALIKESIR,GOMEC,YAYA,112478-33,I_K,8000,,,,HAYIR,,,,,
175000,ISTANBUL,CATALCA,ELBASAN,84566-429,BAHCE,500,,HISSELI TAPU,EVET,HAYIR,CATALCA,,,1348,
495000,CANAKKALE,AYVACIK,KUCUKKUYU (MIHLI),65585-1158,I_K,315,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KUCUKKUYU,,,,
1575000,KOCAELI,GOLCUK,NIMETIYE,692368-207,TARLA,22500,,MUSTAKIL PARSEL,HAYIR,HAYIR,GOLCUK,70,,,
560000,ANKARA,CANKAYA,YASAMKENT,5691-4721,I_K,264,UYGUN,,,HAYIR,,,,,
7000000,BALIKESIR,GONEN,CIFTECESMELER,67182-416,I_K,290,,,,HAYIR,,,167,,
130000,YALOVA,CIFTLIKKOY,CIFTLIK,111886-124,I_K,359,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,CIFTLIKKOY,11111,698,14,
19000,BALIKESIR,BANDIRMA,MAHBUBELER,105279-64,TARLA,4715,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARACEBEY,,,,
445000,ANTALYA,AKSU,KUMKOY,7670-7620,TARLA,4200,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,AKSU,113,14449,7,
170000,CORUM,MERKEZ,BAHCELIEVLER,85691-370,I_K,372,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,CORUM,,2800,9,
50000,ANTALYA,AKSU,KARAOZ,21055-1988,TARLA,12000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,AKSU,50,,,
155000,ISTANBUL,CATALCA,FERHATPASA,8088-1730,TARLA,781,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,,,,,
480000,IZMIR,TORBALI,TASKESIK,0-29925102,TARLA,4000,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,TORBALI,,,,
502000,YALOVA,CIFTLIKKOY,CUKURKOY (YUKARI),99665-2,TARLA,6607,,MUSTAKIL PARSEL,EVET,HAYIR,,76,132,130,
375000,KOCAELI,IZMIT,TUYSUZLER,89333-30,I_K,350,,HISSELI TAPU,HAYIR,HAYIR,,,965,46,
500000,MUGLA,MENTESE,YENIKOY,8672-472,I_K,507,,,,HAYIR,,,,,
106000,ANKARA,SINCAN,YENIKAYI,4384-6524,BAHCE,2250,UYGUN,HISSELI TAPU,EVET,EVET,AYAS,1,138,62,1.0
149000,TEKIRDAG,SULEYMANPASA,KARADENIZ,58723-550,I_K,500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SULEYMANPASA,298,124,5,
535000,BALIKESIR,EDREMIT,TUZCUMURAT,6579-1964,I_K,250,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,EDREMIT,2140,,,
150000,BALIKESIR,BURHANIYE,PELITKOY,54510-437,ZEYTINLIK,6000,,,,HAYIR,,,,,
775000,ANTALYA,KEMER,BEYCIK,27742-179,TARLA,3873,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
135000,KONYA,KARATAY,SARACOGLU,49677-1357,I_K,1000,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,KARATAY,135,111,11,
435000,BALIKESIR,GOMEC,KEMALPASA,117985-61,ZEYTINLIK,7962,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,GOMEC BELEDIYESI,,,,
60000,ISTANBUL,CATALCA,CELEPKOY,113648-171,TARLA,500,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,CATALCA,,0,0,
360000,MUGLA,ULA,SARAYYANI,80481-401,I_K,716,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ULA,,104,1,
2100000,MERSIN(ICEL),AKDENIZ,KARACAILYAS,70143-1112,TARLA,12500,,,,HAYIR,,,,,
11500000,ISTANBUL,TUZLA,ANADOLU,67619-636,I_T,6358,,,,HAYIR,,,,,
7500000,ANTALYA,MURATPASA,CAGLAYAN,28664-2270,OZEL_K,480,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MURATPASA,,111,111,
35000,AMASYA,MERZIFON,KARAMUSTAFAPASA,99321-465,TARLA,500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MERZIFON,,139,11,
2650000,IZMIR,SEFERIHISAR,ULAMIS,77169-435,I_T,5500,,,,HAYIR,,,,,
15000,TEKIRDAG,SARAY,KURTDERE,115689-36,TARLA,235,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,SARAY,68,0,605,
