,FIYAT,METREKARE,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL,ARSA_TIPI_BAG,ARSA_TIPI_BAHCE,ARSA_TIPI_CIFTLIK,ARSA_TIPI_D_A_I,ARSA_TIPI_HASTANE,ARSA_TIPI_I_K,ARSA_TIPI_I_S,ARSA_TIPI_I_T,ARSA_TIPI_K_T,ARSA_TIPI_M_A,ARSA_TIPI_OKUL,ARSA_TIPI_OZEL_K,ARSA_TIPI_S_A,ARSA_TIPI_TARLA,ARSA_TIPI_T_A,ARSA_TIPI_T_K,ARSA_TIPI_ZEYTINLIK
28,12.2783933071098,5.393627546352362,7.090632237067791,1.3862943611198906,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,13.16158409055761,6.025865973825314,6.9865664594064265,5.991464547107982,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,12.180754837545884,5.730099782973574,3.912023005428146,4.088773517172645,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,12.560244459250788,6.476972362889683,6.203935968673326,3.044522437723423,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,12.560244459250788,7.484368643286131,0.30010459245033816,4.189654742026425,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,13.527828485512494,7.257707677160043,6.247946158032702,2.4849066497880004,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,12.0015054797889,7.154615356913663,6.364176868744338,5.91011890765403,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12.821258284620408,6.272877006546167,6.340611224625922,5.6065370902173655,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,13.710150042306449,9.615805480084347,10.105248829568543,5.112274608952228,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,14.266586177324491,9.338733586744581,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
