,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
67,275000,ISTANBUL,CATALCA,CIFTLIKKOY,TARLA,1287,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,0,0,1
68,500000,MUGLA,MENTESE,GULAGZI,I_K,650,MUSTAKIL PARSEL,494.6923076923077,144.0,0,0,1,0,1,0,1,0
69,420000,ANTALYA,KORKUTELI,NEBILER,M_A,84,MUSTAKIL PARSEL,47.0,531.0,1,0,0,0,1,1,0,0
70,300000,BALIKESIR,EDREMIT,MEHMETALAN,BAHCE,6000,MUSTAKIL PARSEL,9529.823999999999,1.0,0,1,0,0,1,0,0,1
73,890000,KAYSERI,HACILAR,BEGENDIK,BAG,3730,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,1,0,0
76,500000,BALIKESIR,ERDEK,CELTIKCI,BAHCE,748,MUSTAKIL PARSEL,656.5,1.0,0,1,0,0,1,0,1,0
78,295000,ANKARA,ETIMESGUT,TURKUAZ,I_K,754,MUSTAKIL PARSEL,325000.0,20.0,0,0,1,0,1,0,0,1
80,195000,ANTALYA,GAZIPASA,BAKILAR,I_K,1146,MUSTAKIL PARSEL,1400.0,47.0,0,0,1,0,1,0,1,0
86,365000,AMASYA,SULUOVA,YOLPINAR,I_S,13923,MUSTAKIL PARSEL,26.0,89.66666666666667,1,0,0,0,1,0,1,0
87,55000,BURSA,YENISEHIR,TERZILER,TARLA,5578,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,1,0,0
88,550000,IZMIR,KEMALPASA,CINILIKOY,I_K,500,MUSTAKIL PARSEL,900.0,297.949494949495,1,0,0,0,1,0,1,0
90,589000,ANTALYA,ALANYA,AVSALLAR,I_K,400,MUSTAKIL PARSEL,516.95,7.0,0,0,1,0,1,0,1,0
91,280000,KOCAELI,KANDIRA,DURACALI,TARLA,3460,MUSTAKIL PARSEL,400.0,39.0,0,1,0,0,1,1,0,0
