FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
1600000,ANTALYA,KEPEZ,VARSAK KARSIYAKA,91219-269,I_K,1440,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,KEPEZ,1111,105,9,
700000,ANKARA,ETIMESGUT,YAPRACIK,1248-1811,I_K,500,UYGUN,HISSELI TAPU,HAYIR,HAYIR,,1400,,,
550000,IZMIR,KARABURUN,ANBARSEKI,117602-9,OZEL_K,1790,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,KARABURUN,,,,
2500000,ISTANBUL,BEYLIKDUZU,GURPINAR,101956-1076,I_K,710,UYGUN,MUSTAKIL PARSEL,,HAYIR,,,,,10000.0
1199990,IZMIR,MENDERES,ATAKOY,104916-28,TARLA,20000,,,,HAYIR,,,,,
6000000,TEKIRDAG,CORLU,ESENTEPE,52848-306,I_K,13750,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,CORLU,437,,,
75000,ANTALYA,KORKUTELI,AVDAN,80358-788,TARLA,6432,UYGUN,,,HAYIR,,,169,10,
1300000,ISTANBUL,CATALCA,KESTANELIK,8088-1746,TARLA,2700,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
600000,ANKARA,KECIOREN,YUKSELTEPE,4229-4181,I_K,371,UYGUN,HISSELI TAPU,HAYIR,EVET,KECIOREN,,30133,5,
2062000,YALOVA,CIFTLIKKOY,SULTANIYE,83996-1016,BAG,13750,UYGUN,MUSTAKIL PARSEL,EVET,EVET,YALOVA,,0,0,
3000000,MUGLA,BODRUM,BITEZ,43038-679,BAHCE,3000,,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
42500,TEKIRDAG,KAPAKLI,BAHCEAGIL,115640-50,TARLA,423,,HISSELI TAPU,,HAYIR,KAPAKLI,95,0,814,
450000,KOCAELI,KARAMURSEL,KAYACIK,35076-2187,I_K,935,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,KARAMURSEL,,,,
400000,YALOVA,ALTINOVA,ORENCIK,119103-32,TARLA,8000,,,,HAYIR,,,,,
1400000,MUGLA,ULA,KOPRUBASI,26998-1696,K_T,1334,UYGUN,,,HAYIR,,,,,
765000000,ISTANBUL,ESENYURT,ESENKENT,3568-3840,I_K,120000,,,,HAYIR,,,,,
600000,YALOVA,ALTINOVA,KAYTAZDERE (KAYTAZDERE),80357-238,I_K,659,UYGUN,BILINMIYOR,EVET,HAYIR,,,,,
2500000,BURSA,NILUFER,YAYLACIK,109788-98,CIFTLIK,6900,BILINMIYOR,MUSTAKIL PARSEL,,HAYIR,NILUFER,363,,,
475000,ANTALYA,AKSU,KEMERAGZI,71299-478,M_A,358,,MUSTAKIL PARSEL,,HAYIR,AKSU,,,,
120000,BALIKESIR,ERDEK,YUKARIYAPICI,95956-542,BAHCE,1516,,,,HAYIR,,,,,
25500,TEKIRDAG,CERKEZKOY,ISTASYON,65028-3078,T_K,8888,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,CERKEZKOY,,1116,1,1000.0
127000,MANISA,YUNUSEMRE,UCPINAR,34970-1986,I_K,505,,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
165000,ANKARA,PURSAKLAR,ABADAN,4581-5403,TARLA,3418,,,HAYIR,HAYIR,,,,,
215000,BALIKESIR,BURHANIYE,KIZIKLI,48018-1109,ZEYTINLIK,1450,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
62000,ANKARA,POLATLI,BEYCEGIZ,64203-598,OZEL_K,780,,,,HAYIR,,,,,
25000000,ISTANBUL,ARNAVUTKOY,HACIMASLI,45647-1019,TARLA,57629,,MUSTAKIL PARSEL,,HAYIR,ARNAVUTKOY,1000,,,
80000,IZMIR,BERGAMA,ORLEMIS,63603-289,TARLA,1600,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,BERGAMA BELEDIYESI,,0,0,
460000,ANKARA,CANKAYA,YASAMKENT,51337-159,I_T,219,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,CANKAYA,,0,0,
210000,K.K.T.C.,GIRNE,LAPTA,81323-787,I_K,2900,,,,HAYIR,,,,,
2200000,TEKIRDAG,SULEYMANPASA,KAYI,82622-885,OZEL_K,22600,,,,HAYIR,SULEYMANPASA,,,,
16500,KONYA,AKOREN,ALANKOY,68123-1907,TARLA,5078,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,AKOREN,4,0,0,
230000,IZMIR,DIKILI,CANDARLI,63545-333,I_K,312,,,,EVET,,,,,
110000,MERSIN(ICEL),TARSUS,YESILYURT,114588-106,I_K,82,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,TARSUS,115,,,
