FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI
300000,KırklarelI,LUleburgaz,Ahmetbey (Dere),87184-234,Tarla,4624,Uygun,MUstakIl Parsel,Hayır,Hayır,AHMETBEY,65,176,6,
575000,Bursa,InegOl,AkhIsar,90680-425,Imarlı - Konut,1049,,,,Hayır,,,,,
175000,Bursa,MustafakemalpaSa,GUllUce,51334-527,Tarla,4000,BIlInmIyor,MUstakIl Parsel,Evet,Hayır,M.KEMALPASA,44,0,234,
1080000,TekIrdaG,SUleymanpaSa,Nusratlı,118555-2,Imarlı - TIcarI,14450,Uygun,MUstakIl Parsel,Evet,Hayır,SUleymanpaSa,,,400,5000
65000,BalıkesIr,GOmeC,KemalpaSa,112478-145,ZeytInlIk,1800,,HIsselI Tapu,,Hayır,,,,,
40000,BalıkesIr,Susurluk,AlIbey,88532-583,Tarla,42000,BIlInmIyor,MUstakIl Parsel,Hayır,Hayır,SUSURLUK,40,114,16,1500
545000,IzmIr,Menderes,OGlananası CumhurIyet,117574-53,Imarlı - Konut,767,BIlInmIyor,MUstakIl Parsel,,Hayır,,,,,
3700000,IzmIr,TIre,ISıklar,98847-64,CIftlIk,30000,,,,Hayır,,,,,
155000,Istanbul,SIlIvrI,Balaban,39113-5016,Imarlı - Konut,200,,MUstakIl Parsel,Evet,Hayır,,,,,
50000,Karaman,Merkez,PaSabaGı,100304-245,Imarlı - Konut,808,,,,Hayır,,,,,
151900,Canakkale,BIga,CeSmealtı,51785-77,Imarlı - Konut,434,,,,Evet,,130,,6619,
75000000,Istanbul,EyUpsultan,MImar SInan,118190-19,Imarlı - Konut,8590,Uygun,,,Hayır,,,,,
66000,Ankara,Cubuk,AGılcık,93630-404,Tarla,2380,,,,Evet,CUBUK BELEDIYESI,27,0,0,
25000,EdIrne,UzunkOprU,Muhacırkadı,114045-35,BahCe,1204,,,,Hayır,,,,,
36000000,Antalya,Aksu,AltıntaS,56735-2057,Imarlı - Konut,13952,,MUstakIl Parsel,,Hayır,AKSU,,,,
80000,EdIrne,UzunkOprU,MalkoC,83231-3128,Tarla,5600,,,,Hayır,,,,,
500000,Bursa,GemlIk,AdlIye,81102-167,BahCe,557,Uygun,MUstakIl Parsel,Hayır,Evet,GEMLIK,,0,1372,
800000,Samsun,LadIk,Akpınar,118058-80,Imarlı - Konut,868,Uygun,MUstakIl Parsel,Hayır,Evet,LADIK,922,507,13,
135000,BalıkesIr,KaresI,Kayabey,109002-30,Imarlı - Konut,174,Uygun,MUstakIl Parsel,Hayır,Hayır,KaresI,775,,,
950000,EdIrne,Merkez,KOSenCIftlIGI,107275-197,Tarla,38000,BIlInmIyor,MUstakIl Parsel,,Hayır,,,0,895,
21500,EdIrne,MerIC,Karayusuflu,77619-401,Tarla,2821,BIlInmIyor,MUstakIl Parsel,Hayır,Hayır,,,,,
1250000,Amasya,MerzIfon,YolUstU,114858-107,Tarla,64220,,,,Hayır,,,,,
105000,KırklarelI,BabaeskI,KurtuluS,111164-150,Imarlı - Konut,264,,,,Hayır,,,,,
185000,Canakkale,Ayvacık,YeSIlyurt,56765-823,ZeytInlIk,2600,,,,Hayır,,,,,
13500000,IzmIr,CeSme,CIftlIk,119397-67,TurIstIk Arsa,5546,Uygun,,Hayır,Hayır,Cesme,2254,,,
650000,IzmIr,Karaburun,HassekI,73953-589,BahCe,1133,Uygun,MUstakIl Parsel,Hayır,Hayır,Karaburun,,,,
190000,MersIn(ICel),Tarsus,TakbaS,108849-392,Imarlı - Konut,322,,,,Hayır,,,,,
300000,IzmIr,AlIaGa,YenISakran,116505-105,Imarlı - Konut,300,Uygun,MUstakIl Parsel,Evet,Hayır,alIaGa,1000,,,
450000,IzmIr,Menemen,Yayla,60356-925,Tarla,3465,,,,Hayır,,,,,
315000,Samsun,AlaCam,YukarısoGukCam,113941-158,Imarlı - Konut,3900,,,,Hayır,,,,,
1000000,IzmIr,Torbalı,OrtakOy,102474-296,BaG,11318,Uygun,MUstakIl Parsel,Hayır,Hayır,TORBALI,,,,
155000,KırklarelI,LUleburgaz,ErtuGrul,116552-61,MuhtelIf Arsa,880,BIlInmIyor,MUstakIl Parsel,Evet,Evet,LULEBURGAZ,,,,
600000,KırklarelI,LUleburgaz,8 Kasım,110801-28,Tarla,14890,Uygun,MUstakIl Parsel,Evet,Hayır,Oz yUrek,40,193,1,
900000,DenIzlI,MerkezefendI,YenISafak,50068-617,Imarlı - Konut,670,Uygun,MUstakIl Parsel,Hayır,Hayır,MERKEZEFENDI,1343,,,
220000,KırklarelI,LUleburgaz,Ayvalı,119532-40,Tarla,7140,,,,Hayır,,,,,
600000,Yalova,CIftlIkkOy,Kabaklı,92386-16,Tarla,6100,Uygun,MUstakIl Parsel,Evet,Hayır,TASKOPRU,100,,,
419900,Hatay,Hassa,Demrek,93711-74,Tarla,14200,BIlInmIyor,MUstakIl Parsel,Hayır,Hayır,hassa,33,,,
1800000,Sakarya,Sapanca,IlmIye,53687-355,Imarlı - Konut,3000,Uygun,MUstakIl Parsel,Hayır,Hayır,,,,,
1054000,Istanbul,Beykoz,RIva,34266-104,Imarlı - Konut,527,Uygun,MUstakIl Parsel,Hayır,Hayır,BEYKOZ,,,1327,
68000,Ankara,SIncan,Mevlana,4384-6172,Imarlı - Konut,75,Uygun,HIsselI Tapu,Hayır,Evet,,1,100586,1,1
750000,Antalya,Alanya,Hocalar,118707-75,Tarla,6700,Uygun deGIl,MUstakIl Parsel,Evet,Hayır,alanya,100,0,0,2000
215000,Ankara,Cubuk,EsenboGa Merkez,113584-15,Imarlı - Konut,574,Uygun,MUstakIl Parsel,,Evet,CUBUK,374,237,8,
15000,Canakkale,GelIbolu,YenIkOy,119105-2,Tarla,15,,,,Hayır,,,,,
3800000,Ankara,SIncan,HIsarlıkaya,1249-1550,CIftlIk,63000,Uygun deGIl,MUstakIl Parsel,Hayır,Hayır,sIncan,55,188,157,
85000,MuGla,MIlas,KalınaGıl,54899-2480,ZeytInlIk,6183,Uygun deGIl,MUstakIl Parsel,Hayır,Hayır,MILAS,,,,
150000,Hatay,Antakya,ACıkdere,73154-782,Tarla,4280,Uygun,MUstakIl Parsel,Hayır,Hayır,ANTAKYA,150000,,,
16000000,BalıkesIr,Ayvalık,KUCUkkOy,102235-63,Imarlı - Konut,10000,Uygun,MUstakIl Parsel,Hayır,Hayır,AYVALIK,,,,65000
500000,MersIn(ICel),SIlIfke,Canbazlı,112447-120,Tarla,48250,Uygun,MUstakIl Parsel,Hayır,Hayır,CAMBAZLIDA,48250,106,255,
100000,Ankara,Cubuk,Yazır,113584-46,Tarla,2000,Uygun deGIl,HIsselI Tapu,Evet,Hayır,,50,130,5,
185000,Canakkale,Merkez,MusakOy,90184-108,Imarlı - Konut,369,,,,Hayır,,,,,
990000,KocaelI,IzmIt,DaGkOy,103246-426,Tarla,4402,,,,Hayır,,,,,
950000,Isparta,Merkez,CUnUr,118477-111,Tarla,3232,,,,Hayır,,,,,
680000,KırklarelI,DemIrkOy,YIGItbaSı,103830-40,CIftlIk,6000,,,,Hayır,,,,,
